Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	Ms1 Seite Ms.2	Ms1 Seite Ms.1	Glosse	R Reim	Tg1a Kapitel	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Tg2b Halbvers	Standard W	M1a DDDTS Lemma	Ms1 Seite Ms.3	S1a Satz	Sprache	Übersetzung	Tg3a Capitulum	M2b Flexion Beleg 1	Ms2 Zeile Ms.2	Ms2 Zeile Ms.1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Ms2 Zeile Ms.3	Tg3b Section	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	Tg3c Canon	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Lemmanachweis	Tg2a Vers	Identifizierer	File Path
00:02:05.800	125.8	00:02:13.000	133.0	00:00:07.200	7.2	K295v	L60va			1								CF_I_Imp 								331																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:02:13.400	133.4	00:02:16.800	136.8	00:00:03.400	3.4	K295v	L60va			1								CF_U_M								331																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:02:17.200	137.2	00:02:22.600	142.6	00:00:05.400	5.4	K295v	L60va			1								CF_I_Rel								331																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:02:23.000	143.0	00:02:30.000	150.0	00:00:07.000	7.0	K295v	L60va			1								CF_U_Imp 								331																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:02:30.400	150.4	00:02:35.000	155.0	00:00:04.600	4.6	K295v	L60va			1								CF_I_Imp 						18		331																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:02:35.400	155.4	00:02:45.400	165.4	00:00:10.000	10.0	K295v	L60va			1								CF_I_Imp 								331																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:02:45.800	165.8	00:02:52.000	172.0	00:00:06.200	6.2	K295v	L60va			1								CF_U_M						20		331																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:02:52.200	172.2	00:02:57.600	177.6	00:00:05.400	5.4	K295v	L60va			1								CF_I_Rel						21		331																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:02:58.000	178.0	00:03:06.400	186.4	00:00:08.400	8.4	K296r	L60va			1								CF_U_Imp 								333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:03:06.800	186.8	00:03:16.600	196.6	00:00:09.800	9.8	K296r	L60va			1								CF_I_Imp 								333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:03:17.000	197.0	00:03:24.000	204.0	00:00:07.000	7.0	K296r	L60va			1								CF_U_M								333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:03:24.400	204.4	00:03:29.800	209.8	00:00:05.400	5.4	K296r	L60va			1								CF_I_Rel								333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:03:30.200	210.2	00:03:36.200	216.2	00:00:06.000	6.0	K296r	L60va			1								CF_U_Imp 								333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:03:36.600	216.6	00:03:42.800	222.8	00:00:06.200	6.2	K296r	L60va			1								CF_I_Imp 								333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:03:43.200	223.2	00:03:49.600	229.6	00:00:06.400	6.4	K296r	L60va			1								CF_U_M						28		333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:03:49.600	229.6	00:03:55.000	235.0	00:00:05.400	5.4	K296r	L60va			1								CF_I_Rel						29		333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:03:55.400	235.4	00:03:58.000	238.0	00:00:02.600	2.6	K296r	L60va			1								CF_U_Imp						30		333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:03:58.000	238.0	00:04:04.200	244.2	00:00:06.200	6.2	K296r	L60va			1								CF_I_O								333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:04:04.600	244.6	00:04:12.400	252.4	00:00:07.800	7.8	K296r	L60va			1								CF_I_Imp								333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:04:12.800	252.8	00:04:17.200	257.2	00:00:04.400	4.4	K296r	L60va			1								CF_U_M						32		333																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
