Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	R Reim	Tg1a Kapitel	Ms1 Seite	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Ms2 Zeile	Tg2b Halbvers	M1a DDDTS Lemma	Standard W	S1a Satz	Sprache	Übersetzung	M2b Flexion Beleg 1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Tg2a Vers	Identifizierer	File Path
00:00:56.000	56.0	00:00:57.400	57.4	00:00:01.400	1.4				wëralt	sg_acc				NA	uuerelt	CF_U_M 	goh	Welt, Erde	i_fem		130							108		uuérelt			NA	i_fem	uuérelt			1205	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:57.400	57.4	00:00:57.800	57.8	00:00:00.400	0.4									$,	, 						130							108		, 			$,		, 				file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:57.800	57.8	00:00:58.400	58.4	00:00:00.600	0.6				dër	neut_pl_nom				DD	du	CF_U_M 	goh	der, die, das			130							108		du			DDA		du			1206	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:58.400	58.4	00:00:59.600	59.6	00:00:01.200	1.2				scif	pl_nom				NA	schef	CF_U_M 	goh	Schiff, Boot, Floß	a_neut		130							108		schêf			NA	a_neut	schêf			1207	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:59.600	59.6	00:01:02.200	62.2	00:00:02.600	2.6				bizeihhanen	ind_pres_sg_3				VV	bizeichenent	CF_U_M 	goh	bezeichnen, bedeuten	wk1a		130							108		bizeichenent			VVFIN	wk1a	bizeichenent			1208	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:02.200	62.2	00:01:03.000	63.0	00:00:00.800	0.8				dër	masc_pl_acc				DD	die	CF_U_M 	goh	der, die, das			130							108		dîe			DDA		dîe			1209	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:03.000	63.0	00:01:04.800	64.8	00:00:01.800	1.8				heilag	pos_masc_pl_acc_wk				ADJ	heiligen	CF_U_M 	goh	heilig	n		130							108		hêilígen			ADJ	a,o	hêilígen			1210	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:04.800	64.8	00:01:05.800	65.8	00:00:01.000	1.0				boto	pl_acc				NA	boten	CF_U_M 	goh	Bote, Apostel	n_masc		130							108		boten			NA	n_masc	boten			1211	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:05.800	65.8	00:01:06.200	66.2	00:00:00.400	0.4									$,	, 						130							108		, 			$,		, 				file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:06.200	66.2	00:01:07.000	67.0	00:00:00.800	0.8				dër	masc_pl_nom				DD	die	CF_I_Att 	goh	der, die, das			130							108		dîe			DDSREL		dîe			1212	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:07.000	67.0	00:01:07.800	67.8	00:00:00.800	0.8				dar					ADV	dir	CF_I_Att 	goh	da, dort			130							108		dir			ADV		dir			1213	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:07.800	67.8	00:01:08.600	68.6	00:00:00.800	0.8				ubar					ADV	uber	CF_I_Att 	goh	über			130							108		uber			PTKVZ		uber-			1214	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:08.600	68.6	00:01:09.800	69.8	00:00:01.200	1.2				ubarfaran	ind_past_pl_3				VV	uoren	CF_I_Att 	goh	hin(aus)fahren, hin(weg)gehen über, überschreiten, übersteigen	st6		130							108		uôren			VVFIN	st6	uôren			1214	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:09.800	69.8	00:01:10.800	70.8	00:00:01.000	1.0				inti					KO	unde	CF_I_Att 	goh	und			130							109		unde			KON		unde			1215	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:10.800	70.8	00:01:11.600	71.6	00:00:00.800	0.8				ubar					ADV	uber	CF_I_Att 	goh	über			130							109		vber			PTKVZ		vber-			1216	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:11.600	71.6	00:01:13.000	73.0	00:00:01.400	1.4				ubarwintan	ind_past_pl_3				VV	uundan	CF_I_Att 	goh	überwinden, übertreffen	st3a		130							109		uundan			VVFIN	st3a	uundan			1216	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:13.000	73.0	00:01:14.200	74.2	00:00:01.200	1.2				al	neut_pl_acc_st				DI	alliu	CF_I_Att 	goh	all, jeder	p		130							109		alliu			DI	a,o	alliu			1217	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:14.200	74.2	00:01:15.000	75.0	00:00:00.800	0.8				dër	neut_pl_acc				DD	diu	CF_I_Att 	goh	der, die, das			130							109		diu			DDA		diu			1218	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:15.000	75.0	00:01:18.000	78.0	00:00:03.000	3.0				widarwart	pos_neut_pl_acc_st				ADJ	uuideruuartdiu	CF_I_Att 	goh	entgegengesetzt, feindlich, widrig, widerwärtig. subst.: Gegenteil	p		130							109		uuíderuuártdiû			ADJ	a,o	uuíderuuártdiû			1219	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:18.000	78.0	00:01:19.400	79.4	00:00:01.400	1.4				giwël	pl_acc				NA	giuuel	CF_I_Att 	goh	Masse; Woge; Verschlingung, Treiben	a_neut		130							109		giuuél			NA	a_neut	giuuél			1220	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:19.400	79.4	00:01:20.600	80.6	00:00:01.200	1.2				dëse	fem_sg_gen				DD	dirro	CF_I_Att 	goh	dieser, diese, dieses			130							109		dirro			DD		dirro			1221	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:20.600	80.6	00:01:22.200	82.2	00:00:01.600	1.6				wëralt	sg_gen				NA	uuerelde	CF_I_Att 	goh	Welt, Erde	i_fem		130							110		uuerelde			NA	i_fem	uuerelde			1222	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:22.200	82.2	00:01:22.600	82.6	00:00:00.400	0.4									$.	; 						130							110		; 			$.		; 				file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:22.600	82.6	00:01:23.400	83.4	00:00:00.800	0.8				dër	fem_sg_nom				DD	diu	CF_U_M 	goh	der, die, das			130							110		diu			DDA		diu			1223	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:01:23.400	83.4	00:01:24.600	84.6	00:00:01.200	1.2				serra	sg_nom				NA	serra	CF_U_M 	lat	Sägefisch	a_fem		130							110		serra			NA	a_fem	serra			1224	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
