Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	Ms1 Seite Ms.2	Ms1 Seite Ms.1	Glosse	R Reim	Tg1a Kapitel	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Tg2b Halbvers	Standard W	M1a DDDTS Lemma	Ms1 Seite Ms.3	S1a Satz	Sprache	Übersetzung	Tg3a Capitulum	M2b Flexion Beleg 1	Ms2 Zeile Ms.2	Ms2 Zeile Ms.1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Ms2 Zeile Ms.3	Tg3b Section	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	Tg3c Canon	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Lemmanachweis	Tg2a Vers	Identifizierer	File Path
00:21:38.200	1298.2	00:21:52.200	1312.2	00:00:14.000	14.0		D54v																	6	595																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:21:52.200	1312.2	00:22:05.800	1325.8	00:00:13.600	13.6		D54v																	7	595																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:22:05.800	1325.8	00:22:15.200	1335.2	00:00:09.400	9.4		D54v																	8	595																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:22:15.200	1335.2	00:22:27.200	1347.2	00:00:12.000	12.0		D54v																	9	595																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:22:27.200	1347.2	00:22:38.400	1358.4	00:00:11.200	11.2		D54v																	10	595																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:22:38.400	1358.4	00:22:48.600	1368.6	00:00:10.200	10.2		D54v																	11	595																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:22:48.600	1368.6	00:22:59.800	1379.8	00:00:11.200	11.2		D54v																	12	595																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:22:59.800	1379.8	00:23:12.000	1392.0	00:00:12.200	12.2		D54v																	13	595																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:23:12.000	1392.0	00:23:24.600	1404.6	00:00:12.600	12.6		D54v																	14	595																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:23:24.600	1404.6	00:23:37.400	1417.4	00:00:12.800	12.8		D54v																	15	595																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:23:37.400	1417.4	00:23:47.800	1427.8	00:00:10.400	10.4		D54v																	16	595																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:23:47.800	1427.8	00:23:57.200	1437.2	00:00:09.400	9.4		D54v																	17	595																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:23:57.200	1437.2	00:23:59.200	1439.2	00:00:02.000	2.0		D54v																	18	595																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:00:00.000	0.0	00:00:05.000	5.0	00:00:05.000	5.0		D51v											CF						14	591	188																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:00:05.200	5.2	00:00:09.800	9.8	00:00:04.600	4.6	F267	D51v											CF						15	591	188																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:00:10.200	10.2	00:00:15.800	15.8	00:00:05.600	5.6	F267	D51v											CE						15	591	188																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:00:16.200	16.2	00:00:25.400	25.4	00:00:09.200	9.2		D51v											CF							591	188																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:00:25.800	25.8	00:00:27.400	27.4	00:00:01.600	1.6	G64vb	D51v											CF						16	591	188																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:00:27.800	27.8	00:00:43.800	43.8	00:00:16.000	16.0	G64vb	D51v											CE							591	188																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:00:44.000	44.0	00:00:49.800	49.8	00:00:05.800	5.8	G64vb	D51v											CF						18	591	188																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
