Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	R Reim	Tg1a Kapitel	Ms1 Seite	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Ms2 Zeile	Tg2b Halbvers	M1a DDDTS Lemma	Standard W	S1a Satz	Sprache	Übersetzung	M2b Flexion Beleg 1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Tg2a Vers	Identifizierer	File Path
00:02:09.400	129.4	00:02:24.200	144.2	00:00:14.800	14.8											CP_I_Adv_Cnd																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:02:24.200	144.2	00:02:34.600	154.6	00:00:10.400	10.4											CF 																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:02:35.000	155.0	00:02:46.000	166.0	00:00:11.000	11.0											CF_U_M																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:02:46.400	166.4	00:02:54.600	174.6	00:00:08.200	8.2											CF																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:02:55.000	175.0	00:03:09.400	189.4	00:00:14.400	14.4											CP																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:03:09.400	189.4	00:03:21.600	201.6	00:00:12.200	12.2											CF																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:03:22.000	202.0	00:03:32.200	212.2	00:00:10.200	10.2											CP																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:03:32.200	212.2	00:03:43.200	223.2	00:00:11.000	11.0											CP																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:03:43.200	223.2	00:03:51.600	231.6	00:00:08.400	8.4											CF_U_M 																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:03:52.000	232.0	00:03:52.800	232.8	00:00:00.800	0.8				daʒ					KO	daʒ	CF_CS_I_Adv_Fin	goh	daß, damit												daz			KOUS		daz			170	file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:03:52.800	232.8	00:03:55.200	235.2	00:00:02.400	2.4											CI_CS_U_O 																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:03:55.200	235.2	00:03:57.000	237.0	00:00:01.800	1.8				giarnen	subj_pres_pl_1				VV	giarnēn	CF_CC_I_Adv_Fin	goh	verdienen	wk3											kearneem			VVFIN	wk3	kearneem			173	file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:03:57.000	237.0	00:04:00.400	240.4	00:00:03.400	3.4											CI_CC_U_O 																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:04:01.800	241.8	00:04:13.400	253.4	00:00:11.600	11.6											CF_U_Adv_Cnd																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:04:13.800	253.8	00:04:21.200	261.2	00:00:07.400	7.4											CF_U_Imp																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:04:21.600	261.6	00:04:24.600	264.6	00:00:03.000	3.0											CF																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:04:25.000	265.0	00:04:34.200	274.2	00:00:09.200	9.2																																		file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:04:34.600	274.6	00:04:39.600	279.6	00:00:05.000	5.0																																		file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:04:40.000	280.0	00:04:43.600	283.6	00:00:03.600	3.6																																		file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:04:44.000	284.0	00:04:52.600	292.6	00:00:08.600	8.6											CF																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:04:53.000	293.0	00:05:01.000	301.0	00:00:08.000	8.0																																		file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:05:02.200	302.2	00:05:16.800	316.8	00:00:14.600	14.6											 CF																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:05:17.200	317.2	00:05:26.400	326.4	00:00:09.200	9.2											CF 																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:05:27.800	327.8	00:05:36.000	336.0	00:00:08.200	8.2											CF																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:05:36.000	336.0	00:05:43.000	343.0	00:00:07.000	7.0											CF																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:05:43.400	343.4	00:05:54.400	354.4	00:00:11.000	11.0											CF 																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:05:54.400	354.4	00:05:59.000	359.0	00:00:04.600	4.6											CF 																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:05:59.400	359.4	00:06:08.200	368.2	00:00:08.800	8.8											CF																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
00:06:09.800	369.8	00:06:18.000	378.0	00:00:08.200	8.2											CF																							file:///media/vbspace/ddd/data/BenediktinerRegel/10_corrections/B_0.eaf
