Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	R Reim	Tg1a Kapitel	Ms1 Seite	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Ms2 Zeile	Tg2b Halbvers	Standard W	M1a DDDTS Lemma	S1a Satz	Sprache	Übersetzung	Tg3a Capitulum	M2b Flexion Beleg 1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Tg3b Section	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	Tg3c Canon	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Lemmanachweis	Tg2a Vers	Identifizierer	File Path
00:03:13.400	193.4	00:03:15.600	195.6	00:00:02.200	2.2		1		gifestinon	ind_past_sg_3				gifestinōta	VV	CF_U_M	goh	bekräftigen, bestätigen		wk2						7		::960				gafestinota				VVFIN	wk2	gafestinota				::960	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:16.000	196.0	00:03:16.800	196.8	00:00:00.800	0.8		1		do					dō	KO	CF_I_Adv_Temp	goh	da, als								7		::970				duo				KOUS		duo				::970	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:16.800	196.8	00:03:17.400	197.4	00:00:00.600	0.6		1		ër	masc_sg_nom_3				ër	PPER	CF_I_Adv_Temp	goh	er, sie, es								7		::980				er				PPER		er				::980	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:17.400	197.4	00:03:18.200	198.2	00:00:00.800	0.8		1		quëdan	ind_past_sg_3				quad	VV	CF_I_Adv_Temp	goh	sprechen, sagen		st5						7		::990				quad				VVFIN	st5	quad				::990	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:18.800	198.8	00:03:20.800	200.8	00:00:02.000	2.0		1		truhtin	sg_gen				truhtīnes	NA	CP_U_M	goh	Herr		a_masc						7		::1000				Truhtines				NA	a_masc	Truhtines				::1000	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:20.800	200.8	00:03:22.200	202.2	00:00:01.400	1.4		1		stimna	sg_nom				stimna	NA	CP_U_M	goh	Stimme		o_fem						7		::1010				stimna				NA	o_fem	stimna				::1010	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:22.200	202.2	00:03:24.000	204.0	00:00:01.800	1.8		1		gëltan					gëltenti	VV	CP_U_M	goh	geben		st3b						7		::1020				geldenti				VVPS	st3b	geldenti				::1020	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:24.000	204.0	00:03:26.200	206.2	00:00:02.200	2.2		1		widarlon	sg_acc				widarlōn	NA	CP_U_M	goh	Vergeltung		a_masc,neut						7		::1030				uuidarloon				NA	a_masc,neut	uuidarloon				::1030	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:26.200	206.2	00:03:27.400	207.4	00:00:01.200	1.2		1		sin	masc_pl_dat_st				sīnēn	DPOS	CP_U_M	goh	sein		p						7		::1040				sinem				DPOS	a,o	sinem				::1040	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:27.400	207.4	00:03:28.800	208.8	00:00:01.400	1.4		1		fiant	pl_dat				fīantun	NA	CP_U_M	goh	Feind		a_masc						7		::1050				fiantum				NA	nd_masc	fiantum				::1050	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:29.400	209.4	00:03:31.400	211.4	00:00:02.000	2.0		1		bouhhanen					bouhhanenti	VV	CP_U_M	goh	bezeichnen, zunicken		wk1a						7		::1060				bauhnenti				VVPS	wk1a	bauhnenti				::1060	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:31.400	211.4	00:03:32.200	212.2	00:00:00.800	0.8		1		dër	masc_pl_acc				die	DD	CP_U_M	goh	der, die, das								7		::1070				dea				DDA		dea				::1070	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:32.200	212.2	00:03:33.600	213.6	00:00:01.400	1.4		1		sëlb	masc_pl_acc_wk				sëlbun	DD	CP_U_M	goh	derselbe		n						7		::1080				selbun				DD	a,o	selbun				::1080	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:33.600	213.6	00:03:35.600	215.6	00:00:02.000	2.0		1		judeoliut	pl_acc				judeoliuti	NA	CP_U_M	goh	Juden		i_masc						7		::1090				iudeoliuti				NA	i_masc	iudeoliuti				::1090	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:36.000	216.0	00:03:36.800	216.8	00:00:00.800	0.8		1		dër	masc_pl_nom				die	DD	CF_I_Att	goh	der, die, das								7		::1100				dea				DDSREL		dea				::1100	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:36.800	216.8	00:03:37.400	217.4	00:00:00.600	0.6		1		ni					nī̆	PTK	CF_I_Att	goh	nicht								7		::1110				ni				PTKNEG		ni				::1110	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:37.400	217.4	00:03:39.200	219.2	00:00:01.800	1.8		1		gilouben	ind_pres_pl_3				giloubent	VV	CF_I_Att	goh	glauben		wk1a						7		::1120				galaubant				VVFIN	wk1a	galaubant				::1120	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
